,0
accuracy_baseline,0.9096509240246407
precision_baseline,0.9166666666666666
recall_baseline,0.07746478873239436
f1_baseline,0.14285714285714285
roc_auc_baseline,0.7051156445877693
accuracy_tuned,0.9089664613278576
precision_tuned,0.68
recall_tuned,0.11971830985915492
f1_tuned,0.20359281437125748
roc_auc_tuned,0.7059418680391675
